call_id,function_id,function_name,value_id,formal_parameter_position,actual_argument_position,argument_type,expression_type,value_type,default,dot_dot_dot,preforce,direct_force,direct_lookup_count,direct_metaprogram_count,indirect_force,indirect_lookup_count,indirect_metaprogram_count,S3_dispatch,S4_dispatch,forcing_actual_argument_position,non_local_return,execution_time,expression
576,TY1fycIl7NN9h006kMV+zg==,(base::exists),405,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
576,TY1fycIl7NN9h006kMV+zg==,(base::exists),406,3,3,Missing,Unassigned,Unassigned,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
576,TY1fycIl7NN9h006kMV+zg==,(base::exists),407,4,4,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
576,TY1fycIl7NN9h006kMV+zg==,(base::exists),408,5,5,Promise,Logical,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
582,EDQFzPNkKTGgJLS5HYLNaA==,(base::parent.env),409,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),410,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),411,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),412,2,2,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),413,3,3,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),414,4,4,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),415,5,5,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),416,6,6,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
584,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),417,7,7,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
591,TY1fycIl7NN9h006kMV+zg==,(base::exists),418,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
591,TY1fycIl7NN9h006kMV+zg==,(base::exists),419,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
591,TY1fycIl7NN9h006kMV+zg==,(base::exists),420,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
591,TY1fycIl7NN9h006kMV+zg==,(base::exists),421,3,3,Missing,Unassigned,Unassigned,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
591,TY1fycIl7NN9h006kMV+zg==,(base::exists),422,4,4,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
591,TY1fycIl7NN9h006kMV+zg==,(base::exists),423,5,5,Promise,Logical,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
597,EDQFzPNkKTGgJLS5HYLNaA==,(base::parent.env),424,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),425,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),426,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),427,2,2,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),428,3,3,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),429,4,4,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),430,5,5,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),431,6,6,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
599,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),432,7,7,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
606,TY1fycIl7NN9h006kMV+zg==,(base::exists),433,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
606,TY1fycIl7NN9h006kMV+zg==,(base::exists),434,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
606,TY1fycIl7NN9h006kMV+zg==,(base::exists),435,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
606,TY1fycIl7NN9h006kMV+zg==,(base::exists),436,3,3,Missing,Unassigned,Unassigned,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
606,TY1fycIl7NN9h006kMV+zg==,(base::exists),437,4,4,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
606,TY1fycIl7NN9h006kMV+zg==,(base::exists),438,5,5,Promise,Logical,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
612,EDQFzPNkKTGgJLS5HYLNaA==,(base::parent.env),439,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),440,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),441,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),442,2,2,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),443,3,3,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),444,4,4,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),445,5,5,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),446,6,6,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
614,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),447,7,7,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
621,TY1fycIl7NN9h006kMV+zg==,(base::exists),448,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
621,TY1fycIl7NN9h006kMV+zg==,(base::exists),449,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
621,TY1fycIl7NN9h006kMV+zg==,(base::exists),450,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
621,TY1fycIl7NN9h006kMV+zg==,(base::exists),451,3,3,Missing,Unassigned,Unassigned,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
621,TY1fycIl7NN9h006kMV+zg==,(base::exists),452,4,4,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
621,TY1fycIl7NN9h006kMV+zg==,(base::exists),453,5,5,Promise,Logical,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
627,EDQFzPNkKTGgJLS5HYLNaA==,(base::parent.env),454,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
